No.;Time;Source;Destination;Protocol;Length;Info
2830;142.881451;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2117/17672, ttl=128 (reply in 2834)
2834;143.067445;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2117/17672, ttl=42 (request in 2830)
2873;143.905995;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2118/17928, ttl=128 (reply in 2883)
2883;144.143108;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2118/17928, ttl=42 (request in 2873)
2941;144.925692;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2119/18184, ttl=128 (reply in 2963)
2963;145.351440;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2119/18184, ttl=42 (request in 2941)
2991;145.949024;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2120/18440, ttl=128 (reply in 3002)
3002;146.333335;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2120/18440, ttl=42 (request in 2991)
3018;147.038399;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2121/18696, ttl=128 (reply in 3020)
3020;147.165881;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2121/18696, ttl=42 (request in 3018)
3021;148.059450;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2122/18952, ttl=128 (reply in 3022)
3022;148.177791;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2122/18952, ttl=42 (request in 3021)
3031;149.082114;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2123/19208, ttl=128 (reply in 3032)
3032;149.237241;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2123/19208, ttl=42 (request in 3031)
3042;150.104603;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2124/19464, ttl=128 (reply in 3043)
3043;150.323808;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2124/19464, ttl=42 (request in 3042)
3046;151.123992;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2125/19720, ttl=128 (reply in 3047)
3047;151.286307;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2125/19720, ttl=42 (request in 3046)
3065;152.144169;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2126/19976, ttl=128 (reply in 3077)
3077;152.336805;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2126/19976, ttl=42 (request in 3065)
3085;153.163799;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2127/20232, ttl=128 (reply in 3095)
3095;153.401076;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2127/20232, ttl=42 (request in 3085)
3106;154.186530;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2128/20488, ttl=128 (reply in 3115)
3115;154.436611;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2128/20488, ttl=42 (request in 3106)
3122;155.198395;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2129/20744, ttl=128 (reply in 3123)
3123;155.354623;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2129/20744, ttl=42 (request in 3122)
3131;156.211652;10.0.166.126;8.8.8.8;ICMP;74;Echo (ping) request  id=0x0001, seq=2130/21000, ttl=128 (reply in 3135)
3135;156.326437;8.8.8.8;10.0.166.126;ICMP;74;Echo (ping) reply    id=0x0001, seq=2130/21000, ttl=42 (request in 3131)
